,loss,categorical_accuracy,precision,recall,f1_score,auc,cohen_kappa,val_loss,val_categorical_accuracy,val_precision,val_recall,val_f1_score,val_auc,val_cohen_kappa
0,0.76010662317276,0.5256829261779785,0.5406107902526855,0.40142518281936646,0.4873407483100891,0.8494529724121094,0.36685633659362793,0.768795907497406,0.5044642686843872,0.5056661367416382,0.4913690388202667,0.3911442458629608,0.851063072681427,0.3382982015609741
1,0.6917651891708374,0.57163006067276,0.578728973865509,0.4917607009410858,0.5445312857627869,0.8723041415214539,0.42827045917510986,0.679192841053009,0.581845223903656,0.5880378484725952,0.5735118985176086,0.4935716688632965,0.8860965967178345,0.44172918796539307
2,0.650065004825592,0.6177998781204224,0.6324751973152161,0.5817250609397888,0.6054925918579102,0.8941609859466553,0.4901311993598938,0.6223555207252502,0.6461309790611267,0.6499239206314087,0.6354166865348816,0.6456560492515564,0.905307412147522,0.5281646251678467
3,0.5778670310974121,0.6738791465759277,0.6812192797660828,0.6486045122146606,0.6734985113143921,0.9181257486343384,0.5651729702949524,0.6040552854537964,0.682440459728241,0.685224175453186,0.6776785850524902,0.6819320917129517,0.9198672771453857,0.5765348672866821
4,0.4988920986652374,0.7314058542251587,0.737474262714386,0.7178221344947815,0.7309166789054871,0.9423538446426392,0.6419409513473511,0.4800296723842621,0.7434523701667786,0.7460796236991882,0.7363095283508301,0.7322643399238586,0.9468538761138916,0.6581588983535767
5,0.38750773668289185,0.8061164021492004,0.8096545934677124,0.7986564636230469,0.8063575029373169,0.9675427675247192,0.7414991855621338,0.35661715269088745,0.8282738327980042,0.8306306600570679,0.8232142925262451,0.8276380896568298,0.9739416241645813,0.7710901498794556
6,0.27118828892707825,0.878896951675415,0.8802480101585388,0.8746288418769836,0.8791592717170715,0.9849231839179993,0.8385186195373535,0.2723892629146576,0.8806547522544861,0.8808954954147339,0.8782737851142883,0.8807821273803711,0.9843368530273438,0.8408611416816711
7,0.19738532602787018,0.9140810370445251,0.9152125120162964,0.9110006093978882,0.9142674803733826,0.992084264755249,0.8854341506958008,0.23572374880313873,0.9101190567016602,0.9113168120384216,0.9083333611488342,0.9100214242935181,0.9886637330055237,0.8801817893981934
8,0.15801861882209778,0.9333803653717041,0.9342208504676819,0.9298173785209656,0.9335428476333618,0.9949353337287903,0.9111689925193787,0.12582290172576904,0.9523809552192688,0.9543283581733704,0.9514880776405334,0.9524822235107422,0.9968993067741394,0.9365079402923584
9,0.12480196356773376,0.9512321949005127,0.9523277282714844,0.9482630491256714,0.9513611793518066,0.9967603087425232,0.9349743127822876,0.23187488317489624,0.918749988079071,0.9197015166282654,0.9169642925262451,0.9188150763511658,0.9882099032402039,0.891675591468811
10,0.11260735243558884,0.95576012134552,0.9566933512687683,0.9535332322120667,0.9558613300323486,0.9974140524864197,0.9410121440887451,0.11903168261051178,0.9526785612106323,0.9563788175582886,0.9526785612106323,0.95264732837677,0.9972904920578003,0.9369071125984192
11,0.09085901081562042,0.9669314026832581,0.9675534963607788,0.9650757312774658,0.9670209288597107,0.9982045888900757,0.9559072256088257,0.14803257584571838,0.9532738327980042,0.9542601108551025,0.949999988079071,0.9532840251922607,0.9957458972930908,0.9377025365829468
12,0.09082803875207901,0.9677850604057312,0.968970000743866,0.9654097557067871,0.9678943753242493,0.9982457160949707,0.9570454955101013,0.07597318291664124,0.968154788017273,0.9683959484100342,0.9666666388511658,0.9682096242904663,0.9989202618598938,0.9575418829917908
13,0.0731344148516655,0.9742428660392761,0.9752687215805054,0.9732779264450073,0.9743223190307617,0.9986937046051025,0.9656562805175781,0.1663999706506729,0.9383928775787354,0.9399999976158142,0.9372023940086365,0.938549280166626,0.9939553141593933,0.9178580045700073
14,0.07299303263425827,0.9768779873847961,0.9770589470863342,0.9752820730209351,0.9769312143325806,0.9986200928688049,0.9691699743270874,0.07199426740407944,0.975595235824585,0.975806474685669,0.9723214507102966,0.9756831526756287,0.9990170001983643,0.967461347579956
15,0.05332515388727188,0.9840781092643738,0.9843447804450989,0.9824450612068176,0.984130859375,0.999182403087616,0.9787702560424805,0.1411198526620865,0.9559524059295654,0.9564698934555054,0.9547619223594666,0.9561071991920471,0.9946723580360413,0.9412716627120972
16,0.052421871572732925,0.9837069511413574,0.9840520620346069,0.9824450612068176,0.9837610721588135,0.9991632103919983,0.9782752990722656,0.051307354122400284,0.9830357432365417,0.9829850792884827,0.9800595045089722,0.9830399751663208,0.998588502407074,0.9773808121681213
17,0.04898635298013687,0.9844492077827454,0.984605073928833,0.9827048778533936,0.9844908714294434,0.9993459582328796,0.9792651534080505,0.029862385243177414,0.993154764175415,0.993140459060669,0.9910714030265808,0.993162989616394,0.999863862991333,0.9908728003501892
18,0.04392210394144058,0.9871585369110107,0.9873945116996765,0.9855255484580994,0.9872026443481445,0.999394416809082,0.9828776717185974,0.07902419567108154,0.9717261791229248,0.9719654321670532,0.9699404835700989,0.9718721508979797,0.9975335597991943,0.962299644947052
19,0.045116353780031204,0.9856368899345398,0.9859453439712524,0.9841523170471191,0.9856847524642944,0.9993473291397095,0.9808486104011536,0.08393283188343048,0.9672619104385376,0.9675402045249939,0.9669643044471741,0.9672539234161377,0.998077929019928,0.9563503861427307
